id,date,store_nbr,item_nbr,onpromotion,city,state,type_store,cluster,family,class,perishable,unit_sales
125494054,8/15/17,53,314384,1,Manta,Manabi,D,13,GROCERY I,1004,0,26
125487132,8/15/17,50,314384,1,Ambato,Tungurahua,A,14,GROCERY I,1004,0,77
125482568,8/15/17,48,819932,0,Quito,Pichincha,A,14,BEVERAGES,1122,0,31
125482087,8/15/17,48,314384,1,Quito,Pichincha,A,14,GROCERY I,1004,0,45
125482046,8/15/17,48,265559,0,Quito,Pichincha,A,14,GROCERY I,1072,0,85
125477601,8/15/17,46,1047679,0,Quito,Pichincha,A,14,BEVERAGES,1120,0,138
125471634,8/15/17,44,502331,0,Quito,Pichincha,A,5,BREAD/BAKERY,2702,1,65
125465858,8/15/17,41,502331,0,Machala,El Oro,D,4,BREAD/BAKERY,2702,1,33
125464496,8/15/17,40,1047679,0,Machala,El Oro,C,3,BEVERAGES,1120,0,16
125462411,8/15/17,39,807493,0,Cuenca,Azuay,B,6,BEVERAGES,1124,0,15
125461298,8/15/17,38,1503844,0,Loja,Loja,D,4,PRODUCE,2022,1,88.913
125460394,8/15/17,38,819932,0,Loja,Loja,D,4,BEVERAGES,1122,0,4
125457231,8/15/17,36,1473474,1,Libertad,Guayas,E,10,PRODUCE,2014,1,66.394
125455595,8/15/17,35,1473474,1,Playas,Guayas,C,3,PRODUCE,2014,1,14.045
125449981,8/15/17,31,1473474,1,Babahoyo,Los Rios,B,10,PRODUCE,2014,1,211.017
125446843,8/15/17,29,1473474,1,Guayaquil,Guayas,E,10,PRODUCE,2014,1,80.106
125443780,8/15/17,28,502331,0,Guayaquil,Guayas,E,10,BREAD/BAKERY,2702,1,43
125440274,8/15/17,26,265559,0,Guayaquil,Guayas,D,10,GROCERY I,1072,0,15
125438912,8/15/17,25,502331,0,Salinas,Santa Elena,D,1,BREAD/BAKERY,2702,1,37
125438793,8/15/17,25,314384,1,Salinas,Santa Elena,D,1,GROCERY I,1004,0,13
125436597,8/15/17,24,265559,0,Guayaquil,Guayas,D,1,GROCERY I,1072,0,53
125435447,8/15/17,23,1047679,0,Ambato,Tungurahua,D,9,BEVERAGES,1120,0,5
125435042,8/15/17,23,502331,0,Ambato,Tungurahua,D,9,BREAD/BAKERY,2702,1,10
125429634,8/15/17,20,314384,1,Quito,Pichincha,B,6,GROCERY I,1004,0,39
125427433,8/15/17,18,1473474,1,Quito,Pichincha,B,16,PRODUCE,2014,1,157.422
125426315,8/15/17,18,364606,0,Quito,Pichincha,B,16,GROCERY I,1014,0,18
125425053,8/15/17,17,1047679,0,Quito,Pichincha,C,12,BEVERAGES,1120,0,88
125421918,8/15/17,15,807493,0,Ibarra,Imbabura,C,15,BEVERAGES,1124,0,26
125415915,8/15/17,11,819932,0,Cayambe,Pichincha,B,6,BEVERAGES,1122,0,199
125414937,8/15/17,10,1463992,0,Quito,Pichincha,C,15,BEVERAGES,1144,0,125
125409772,8/15/17,8,502331,0,Quito,Pichincha,D,8,BREAD/BAKERY,2702,1,24
125407482,8/15/17,7,502331,0,Quito,Pichincha,D,8,BREAD/BAKERY,2702,1,33
125394565,8/15/17,1,502331,0,Quito,Pichincha,D,13,BREAD/BAKERY,2702,1,21
125392445,8/14/17,53,1473474,0,Manta,Manabi,D,13,PRODUCE,2014,1,88.212
