id,date,store_nbr,item_nbr,onpromotion,city,state,type_store,cluster,family,class,perishable,unit_sales
1820,1,2,314384,0,Quito,Pichincha,D,13,GROCERY I,1004,0,69
10600,1,10,364606,0,Quito,Pichincha,C,15,GROCERY I,1014,0,52
18469,1,23,807493,0,Ambato,Tungurahua,D,9,BEVERAGES,1124,0,27
22651,1,28,502331,0,Guayaquil,Guayas,E,10,BREAD/BAKERY,2702,1,81
24452,1,31,1047679,0,Babahoyo,Los Rios,B,10,BEVERAGES,1120,0,5
24751,1,32,502331,0,Guayaquil,Guayas,C,3,BREAD/BAKERY,2702,1,7
25991,1,34,364606,0,Guayaquil,Guayas,B,6,GROCERY I,1014,0,51
32613,1,44,364606,0,Quito,Pichincha,A,5,GROCERY I,1014,0,244
40760,1,51,265559,0,Guayaquil,Guayas,A,17,GROCERY I,1072,0,94
43434,1,2,314384,0,Quito,Pichincha,D,13,GROCERY I,1004,0,45
45006,1,3,807493,0,Quito,Pichincha,D,8,BEVERAGES,1124,0,96
49799,1,8,314384,0,Quito,Pichincha,D,8,GROCERY I,1004,0,69
57926,1,18,807493,0,Quito,Pichincha,B,16,BEVERAGES,1124,0,32
59166,1,23,502331,0,Ambato,Tungurahua,D,9,BREAD/BAKERY,2702,1,44
65038,1,31,1047679,0,Babahoyo,Los Rios,B,10,BEVERAGES,1120,0,6
65749,1,33,265559,0,Quevedo,Los Rios,C,3,GROCERY I,1072,0,23
67362,1,35,502331,0,Playas,Guayas,C,3,BREAD/BAKERY,2702,1,33
79911,1,50,364606,0,Ambato,Tungurahua,A,14,GROCERY I,1014,0,148
82148,1,54,819932,0,El Carmen,Manabi,C,3,BEVERAGES,1122,0,22
90405,1,8,807493,0,Quito,Pichincha,D,8,BEVERAGES,1124,0,104
93014,1,11,819932,0,Cayambe,Pichincha,B,6,BEVERAGES,1122,0,351
103688,1,28,1047679,0,Guayaquil,Guayas,E,10,BEVERAGES,1120,0,1
103895,1,30,364606,0,Guayaquil,Guayas,C,3,GROCERY I,1014,0,24
135261,1,13,1047679,0,Latacunga,Cotopaxi,C,15,BEVERAGES,1120,0,27
139373,1,19,364606,0,Guaranda,Bolivar,C,15,GROCERY I,1014,0,76
139627,1,19,807493,0,Guaranda,Bolivar,C,15,BEVERAGES,1124,0,103
141194,1,24,502331,0,Guayaquil,Guayas,D,1,BREAD/BAKERY,2702,1,92
144075,1,27,807493,0,Daule,Guayas,D,1,BEVERAGES,1124,0,49
146147,1,31,364606,0,Babahoyo,Los Rios,B,10,GROCERY I,1014,0,136
147729,1,33,819932,0,Quevedo,Los Rios,C,3,BEVERAGES,1122,0,49
149578,1,37,314384,0,Cuenca,Azuay,D,2,GROCERY I,1004,0,101
151131,1,38,819932,0,Loja,Loja,D,4,BEVERAGES,1122,0,9
156196,1,45,314384,0,Quito,Pichincha,A,11,GROCERY I,1004,0,199
159972,1,48,364606,0,Quito,Pichincha,A,14,GROCERY I,1014,0,160
173006,1,8,807493,0,Quito,Pichincha,D,8,BEVERAGES,1124,0,102
179851,1,17,502331,0,Quito,Pichincha,C,12,BREAD/BAKERY,2702,1,31
185235,1,26,1047679,0,Guayaquil,Guayas,D,10,BEVERAGES,1120,0,2
185473,1,27,265559,0,Daule,Guayas,D,1,GROCERY I,1072,0,46
187958,1,31,265559,0,Babahoyo,Los Rios,B,10,GROCERY I,1072,0,64
188898,1,32,502331,0,Guayaquil,Guayas,C,3,BREAD/BAKERY,2702,1,25
189041,1,32,807493,0,Guayaquil,Guayas,C,3,BEVERAGES,1124,0,16
193053,1,38,807493,0,Loja,Loja,D,4,BEVERAGES,1124,0,106
207666,1,1,1047679,0,Quito,Pichincha,D,13,BEVERAGES,1120,0,34
211216,1,5,364606,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,GROCERY I,1014,0,79
214734,1,8,819932,0,Quito,Pichincha,D,8,BEVERAGES,1122,0,23
218140,1,12,1047679,0,Latacunga,Cotopaxi,C,15,BEVERAGES,1120,0,12
221722,1,18,265559,0,Quito,Pichincha,B,16,GROCERY I,1072,0,31
